"Date";"Channel";"Description";"2nd Description";"Start time";"Duration";"Variable\Target";"Total Individuals";"Podgrupa";"A16-49";"M16-49";"A4-15";"A4-9";
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,271 %;0,000 %;0,384 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";96 866;0;67 985;0;0;0;
;;"PROMO";" ";"18:21:51";"00:00:16";"AMR";32 471;0;26 440;0;0;0;
;;;;;;"AMR %";0,091 %;0,000 %;0,149 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,232 %;0,000 %;0,507 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,091 %;0,000 %;0,149 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";32 471;0;26 440;0;0;0;
;;"PROMO";" ";"18:52:27";"00:00:11";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"4FUN NEWS /PROG.MUZ.INFO.POL./";" ";"18:52:38";"00:00:44";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"19:22:31";"00:00:16";"AMR";2 764;0;2 764;0;0;0;
;;;;;;"AMR %";0,008 %;0,000 %;0,016 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,017 %;0,000 %;0,046 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,008 %;0,000 %;0,016 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";2 764;0;2 764;0;0;0;
;;"PROMO";" ";"19:52:54";"00:00:11";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"NUMBER 1 HITS /PROG.MUZ.POL./";" ";"20:00:09";"00:46:47";"AMR";3 289;0;1 959;0;0;0;
;;;;;;"AMR %";0,009 %;0,000 %;0,011 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,019 %;0,000 %;0,027 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,150 %;0,000 %;0,131 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";53 419;0;23 233;0;0;0;
;;"PROMO";" ";"20:21:07";"00:00:18";"AMR";3 853;0;3 853;0;0;0;
;;;;;;"AMR %";0,011 %;0,000 %;0,022 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,022 %;0,000 %;0,054 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,011 %;0,000 %;0,022 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 853;0;3 853;0;0;0;
;;"PROMO";" ";"20:55:13";"00:00:12";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"4FUN NEWS /PROG.MUZ.INFO.POL./";" ";"20:55:25";"00:00:44";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"CHCESZ MASZ /PROG.MUZ.POL./";" ";"21:00:06";"00:48:09";"AMR";13 984;0;13 984;0;0;0;
;;;;;;"AMR %";0,039 %;0,000 %;0,079 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,083 %;0,000 %;0,188 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,200 %;0,000 %;0,403 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";71 371;0;71 371;0;0;0;
;;"BEST OF TEN TOP /TELEDYSKI/";" ";"22:00:06";"00:36:36";"AMR";13 372;0;12 624;0;0;0;
;;;;;;"AMR %";0,037 %;0,000 %;0,071 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,100 %;0,000 %;0,202 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,113 %;0,000 %;0,175 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";40 202;0;31 077;0;0;0;
;;"PROMO";" ";"22:22:31";"00:00:12";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PRZEBOJE 4FUN /TELEDYSKI/";" ";"22:42:36";"00:11:37";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"22:55:55";"00:00:12";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"NOWE! /PROG.MUZ.POL./";" ";"23:00:08";"00:48:24";"AMR";1 479;0;1 479;0;0;0;
;;;;;;"AMR %";0,004 %;0,000 %;0,008 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,020 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,036 %;0,000 %;0,072 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";12 832;0;12 832;0;0;0;
;;"ZAJEBISTA 20 /PROG.MUZ.POL./";" ";"24:00:08";"01:13:22";"AMR";3 860;0;3 755;0;0;0;
;;;;;;"AMR %";0,011 %;0,000 %;0,021 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,117 %;0,000 %;0,219 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,099 %;0,000 %;0,155 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";35 241;0;27 514;0;0;0;
;;"PROMO";" ";"24:22:58";"00:00:08";"AMR";14 392;0;14 392;0;0;0;
;;;;;;"AMR %";0,040 %;0,000 %;0,081 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,382 %;0,000 %;0,703 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,040 %;0,000 %;0,081 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";14 392;0;14 392;0;0;0;
;;"PROMO";" ";"24:54:52";"00:00:10";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"25:20:21";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PRZEBOJE 4FUN /TELEDYSKI/";" ";"25:31:10";"00:22:56";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"25:55:39";"00:00:11";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;"4FUN FIT&DANCE [TV.DISCO]";"DISCO PARTY /MUZYKA DYSKOT./";" ";"02:00:00";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"NAJLEPSZA MUZYKA NOCA /TELEDYSKI/";" ";"02:00:08";"04:00:00";"AMR";220;0;0;0;0;0;
;;;;;;"AMR %";0,001 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,013 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 796;0;0;0;0;0;
;;"DANCE BUDZI LUDZI /TELEDYSKI/";" ";"06:00:08";"01:35:15";"AMR";88;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,003 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,023 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";8 374;0;0;0;0;0;
;;"PRZEBOJE 4FUN KIDS /TELEDYSKI/";" ";"08:00:08";"01:42:28";"AMR";23 164;7 238;13 226;2 774;7 413;3 577;
;;;;;;"AMR %";0,065 %;0,152 %;0,075 %;0,106 %;0,223 %;0,698 %;
;;;;;;"SHR %";0,338 %;0,806 %;0,475 %;0,660 %;1,130 %;2,885 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,396 %;1,047 %;0,485 %;0,670 %;0,779 %;1,474 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";141 607;49 919;85 973;17 463;25 931;7 549;
;;"PROMO";" ";"08:07:27";"00:00:23";"AMR";11 757;0;3 334;0;3 627;0;
;;;;;;"AMR %";0,033 %;0,000 %;0,019 %;0,000 %;0,109 %;0,000 %;
;;;;;;"SHR %";0,240 %;0,000 %;0,193 %;0,000 %;0,767 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,033 %;0,000 %;0,019 %;0,000 %;0,109 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";11 757;0;3 334;0;3 627;0;
;;"PROMO";" ";"08:38:04";"00:00:24";"AMR";24 908;24 908;0;0;0;0;
;;;;;;"AMR %";0,070 %;0,522 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,404 %;3,029 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,070 %;0,522 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";24 908;24 908;0;0;0;0;
;;"PROMO";" ";"09:07:39";"00:00:23";"AMR";37 792;20 419;30 243;12 870;7 549;7 549;
;;;;;;"AMR %";0,106 %;0,428 %;0,171 %;0,493 %;0,227 %;1,474 %;
;;;;;;"SHR %";0,528 %;2,220 %;1,023 %;2,866 %;1,099 %;5,364 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,106 %;0,428 %;0,171 %;0,493 %;0,227 %;1,474 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";37 792;20 419;30 243;12 870;7 549;7 549;
;;"PROMO";" ";"09:35:50";"00:00:24";"AMR";25 050;12 141;11 638;4 593;13 411;7 549;
;;;;;;"AMR %";0,070 %;0,255 %;0,066 %;0,176 %;0,403 %;1,474 %;
;;;;;;"SHR %";0,310 %;1,140 %;0,336 %;0,901 %;1,824 %;6,289 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,070 %;0,255 %;0,066 %;0,176 %;0,403 %;1,474 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";25 050;12 141;11 638;4 593;13 411;7 549;
;;"DISCO &DANCE /TELEDYSKI/";" ";"09:59:24";"01:45:21";"AMR";30 057;124;24 996;52;4 523;72;
;;;;;;"AMR %";0,084 %;0,003 %;0,141 %;0,002 %;0,136 %;0,014 %;
;;;;;;"SHR %";0,369 %;0,012 %;0,727 %;0,011 %;0,631 %;0,079 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,285 %;0,273 %;0,373 %;0,210 %;0,745 %;1,474 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";101 830;13 025;66 065;5 476;24 800;7 549;
;;"PROMO";" ";"10:06:53";"00:00:24";"AMR";35 861;0;29 999;0;5 863;0;
;;;;;;"AMR %";0,100 %;0,000 %;0,169 %;0,000 %;0,176 %;0,000 %;
;;;;;;"SHR %";0,425 %;0,000 %;0,827 %;0,000 %;0,755 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,100 %;0,000 %;0,169 %;0,000 %;0,176 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";35 861;0;29 999;0;5 863;0;
;;"POLSKI DANCE /TELEDYSKI/";" ";"12:00:08";"00:52:14";"AMR";13 513;0;13 056;0;0;0;
;;;;;;"AMR %";0,038 %;0,000 %;0,074 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,161 %;0,000 %;0,355 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,169 %;0,000 %;0,297 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";60 262;0;52 640;0;0;0;
;;"PROMO";" ";"12:07:17";"00:00:22";"AMR";14 527;0;14 527;0;0;0;
;;;;;;"AMR %";0,041 %;0,000 %;0,082 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,174 %;0,000 %;0,396 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,041 %;0,000 %;0,082 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";14 527;0;14 527;0;0;0;
;;"PROMO";" ";"12:39:13";"00:00:24";"AMR";14 527;0;14 527;0;0;0;
;;;;;;"AMR %";0,041 %;0,000 %;0,082 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,174 %;0,000 %;0,392 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,041 %;0,000 %;0,082 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";14 527;0;14 527;0;0;0;
;;"HALLOWEEN WEEKEND /TELEDYSKI/";" ";"13:00:08";"01:44:58";"AMR";3 751;0;3 202;0;0;0;
;;;;;;"AMR %";0,010 %;0,000 %;0,018 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,045 %;0,000 %;0,091 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,139 %;0,000 %;0,237 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";49 522;0;41 900;0;0;0;
;;"PROMO";" ";"14:07:11";"00:00:30";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"14:38:27";"00:00:14";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"POLSKI DANCE /TELEDYSKI/";" ";"14:59:56";"00:55:02";"AMR";4 053;0;1 868;0;0;0;
;;;;;;"AMR %";0,011 %;0,000 %;0,011 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,045 %;0,000 %;0,052 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,067 %;0,000 %;0,091 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";23 792;0;16 170;0;0;0;
;;"TOP 50 DISCO & DANCE /TELEDYSKI/";" ";"16:00:08";"02:48:06";"AMR";10 830;77;8 045;77;2 624;0;
;;;;;;"AMR %";0,030 %;0,002 %;0,045 %;0,003 %;0,079 %;0,000 %;
;;;;;;"SHR %";0,083 %;0,004 %;0,164 %;0,009 %;0,353 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,280 %;0,270 %;0,425 %;0,493 %;0,267 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";100 067;12 870;75 285;12 870;8 892;0;
;;"TYLKO DANCE MA SENS /TELEDYSKI/";" ";"19:32:12";"00:27:56";"AMR";770;0;770;0;0;0;
;;;;;;"AMR %";0,002 %;0,000 %;0,004 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,005 %;0,000 %;0,012 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,040 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 174;0;7 174;0;0;0;
;;"DISCO &DANCE /TELEDYSKI/";" ";"20:00:08";"01:36:30";"AMR";1 424;0;973;0;0;0;
;;;;;;"AMR %";0,004 %;0,000 %;0,005 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,008 %;0,000 %;0,013 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,080 %;0,000 %;0,121 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";28 669;0;21 410;0;0;0;
;;"DISCO PARTY /MUZYKA DYSKOT./";" ";"22:00:08";"03:12:07";"AMR";506;0;205;0;0;0;
;;;;;;"AMR %";0,001 %;0,000 %;0,001 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,008 %;0,000 %;0,007 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,081 %;0,000 %;0,045 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";29 022;0;7 893;0;0;0;
;;"PROMO";" ";"23:06:20";"00:00:20";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;"4FUN HITS [mjuzik.tv]";"PARTY HITS 2000 /TELEDYSKI/";" ";"02:00:00";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"NAJLEPSZA MUZYKA NOCA /TELEDYSKI/";" ";"02:00:08";"04:00:00";"AMR";1 836;0;1 836;0;0;0;
;;;;;;"AMR %";0,005 %;0,000 %;0,010 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,169 %;0,000 %;0,324 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,026 %;0,000 %;0,053 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";9 378;0;9 378;0;0;0;
;;"4FUN BUDZI LUDZI /TELEDYSKI/";" ";"06:00:08";"01:34:57";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"07:45:03";"00:00:16";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"HITS 2000 /TELEDYSKI/";" ";"08:00:08";"01:39:02";"AMR";639;78;0;0;78;78;
;;;;;;"AMR %";0,002 %;0,002 %;0,000 %;0,000 %;0,002 %;0,015 %;
;;;;;;"SHR %";0,009 %;0,009 %;0,000 %;0,000 %;0,012 %;0,064 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,045 %;0,163 %;0,000 %;0,000 %;0,233 %;1,514 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";15 975;7 751;0;0;7 751;7 751;
;;"PROMO";" ";"09:45:43";"00:00:16";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"HITS 80'S /TELEDYSKI/";" ";"10:00:08";"00:50:54";"AMR";256;256;108;108;148;148;
;;;;;;"AMR %";0,001 %;0,005 %;0,001 %;0,004 %;0,004 %;0,029 %;
;;;;;;"SHR %";0,003 %;0,024 %;0,003 %;0,021 %;0,019 %;0,147 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,036 %;0,273 %;0,031 %;0,210 %;0,227 %;1,474 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 025;13 025;5 476;5 476;7 549;7 549;
;;"PROMO";" ";"10:49:04";"00:00:19";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"HITS 90'S /TELEDYSKI/";" ";"11:00:08";"00:50:24";"AMR";1 496;0;1 480;0;0;0;
;;;;;;"AMR %";0,004 %;0,000 %;0,008 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,019 %;0,000 %;0,044 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,058 %;0,000 %;0,082 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";20 811;0;14 527;0;0;0;
;;"PROMO";" ";"11:46:55";"00:00:16";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
