"Date";"Channel";"Description";"2nd Description";"Start time";"Duration";"Variable\Target";"Total Individuals";"Podgrupa";"A16-49";"M16-49";"A4-15";"A4-9";
;;;;;;"SHR %";0,745 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,032 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";11 570;0;0;0;0;0;
;;"PROMO";" ";"03:38:25";"00:01:30";"AMR";11 570;0;0;0;0;0;
;;;;;;"AMR %";0,032 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";1,114 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,032 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";11 570;0;0;0;0;0;
;;"PROMO";" ";"03:54:13";"00:01:08";"AMR";5 800;0;0;0;0;0;
;;;;;;"AMR %";0,016 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,622 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,023 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";8 392;0;0;0;0;0;
;;"INSIDE MOVIES /MAG.FILM.USA/";"INSIDE MOVIES";"03:55:21";"00:04:00";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"03:59:21";"00:00:50";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"J.A.G /SER.USA/";"JAG";"04:00:11";"00:41:57";"AMR";200;0;0;0;0;0;
;;;;;;"AMR %";0,001 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,024 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,023 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";8 392;0;0;0;0;0;
;;"PROMO";" ";"04:19:22";"00:01:30";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"04:43:38";"00:00:58";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"INSIDE MOVIES /MAG.FILM.USA/";"INSIDE MOVIES";"04:44:36";"00:06:00";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"INSIDE MOVIES /MAG.FILM.USA/";"INSIDE MOVIES";"04:50:36";"00:04:05";"AMR";1 556;0;0;0;0;0;
;;;;;;"AMR %";0,004 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,215 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,009 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 177;0;0;0;0;0;
;;"INSIDE MOVIES /MAG.FILM.USA/";"INSIDE MOVIES";"04:54:41";"00:04:05";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"04:58:46";"00:01:20";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"J.A.G /SER.USA/";"JAG";"05:00:06";"00:41:40";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"05:21:31";"00:02:09";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"05:43:55";"00:00:39";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"INSIDE MOVIES /MAG.FILM.USA/";"INSIDE MOVIES";"05:44:34";"00:06:00";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"INSIDE MOVIES /MAG.FILM.USA/";"INSIDE MOVIES";"05:50:34";"00:04:03";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"INSIDE MOVIES /MAG.FILM.USA/";"INSIDE MOVIES";"05:54:37";"00:04:05";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"05:58:42";"00:01:37";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"06:00:19";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BIURO KRYMINALNE /SER.KRYM.POL./";"HOMICIDE SQUAD";"06:00:27";"00:42:22";"AMR";5 103;2 154;0;0;0;0;
;;;;;;"AMR %";0,014 %;0,045 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,334 %;1,454 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,075 %;0,319 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";26 689;15 208;0;0;0;0;
;;"PROMO";" ";"06:10:22";"00:01:03";"AMR";3 533;0;0;0;0;0;
;;;;;;"AMR %";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,339 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 533;0;0;0;0;0;
;;"PROMO";" ";"06:14:31";"00:01:05";"AMR";3 533;0;0;0;0;0;
;;;;;;"AMR %";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,305 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 533;0;0;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"06:15:36";"00:00:08";"AMR";3 533;0;0;0;0;0;
;;;;;;"AMR %";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,297 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 533;0;0;0;0;0;
;;"PROMO";" ";"06:26:13";"00:00:53";"AMR";3 533;0;0;0;0;0;
;;;;;;"AMR %";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,244 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 533;0;0;0;0;0;
;;"PROMO";" ";"06:30:12";"00:01:05";"AMR";3 533;0;0;0;0;0;
;;;;;;"AMR %";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,229 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 533;0;0;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"06:31:17";"00:00:08";"AMR";3 533;0;0;0;0;0;
;;;;;;"AMR %";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,226 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 533;0;0;0;0;0;
;;"PROMO";" ";"06:43:04";"00:00:53";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"06:47:03";"00:01:15";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"06:48:18";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"06:58:45";"00:00:08";"AMR";7 948;0;0;0;0;0;
;;;;;;"AMR %";0,022 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,331 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,022 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 948;0;0;0;0;0;
;;"PROMO";" ";"06:58:53";"00:01:18";"AMR";7 948;0;0;0;0;0;
;;;;;;"AMR %";0,022 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,319 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,022 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 948;0;0;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"07:00:11";"00:00:08";"AMR";7 948;0;0;0;0;0;
;;;;;;"AMR %";0,022 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,312 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,022 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 948;0;0;0;0;0;
;;"BIURO KRYMINALNE /SER.KRYM.POL./";"HOMICIDE SQUAD";"07:00:19";"00:44:29";"AMR";10 619;0;5 724;0;0;0;
;;;;;;"AMR %";0,030 %;0,000 %;0,032 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,287 %;0,000 %;0,447 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,088 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";31 271;0;7 317;0;0;0;
;;"PROMO";" ";"07:11:24";"00:01:15";"AMR";15 265;0;7 317;0;0;0;
;;;;;;"AMR %";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,495 %;0,000 %;0,660 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";15 265;0;7 317;0;0;0;
;;"PROMO";" ";"07:15:45";"00:00:53";"AMR";15 265;0;7 317;0;0;0;
;;;;;;"AMR %";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,485 %;0,000 %;0,659 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";15 265;0;7 317;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"07:16:38";"00:00:08";"AMR";15 265;0;7 317;0;0;0;
;;;;;;"AMR %";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,484 %;0,000 %;0,658 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";15 265;0;7 317;0;0;0;
;;"PROMO";" ";"07:29:45";"00:01:05";"AMR";15 265;0;7 317;0;0;0;
;;;;;;"AMR %";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,420 %;0,000 %;0,578 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";15 265;0;7 317;0;0;0;
;;"PROMO";" ";"07:33:56";"00:00:23";"AMR";8 699;0;7 317;0;0;0;
;;;;;;"AMR %";0,024 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,226 %;0,000 %;0,561 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,043 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";15 265;0;7 317;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"07:34:19";"00:00:08";"AMR";7 317;0;7 317;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,190 %;0,000 %;0,561 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 317;0;7 317;0;0;0;
;;"PROMO";" ";"07:45:33";"00:00:54";"AMR";7 317;0;7 317;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,168 %;0,000 %;0,503 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 317;0;7 317;0;0;0;
;;"PROMO";" ";"07:49:33";"00:00:33";"AMR";12 611;0;12 611;0;0;0;
;;;;;;"AMR %";0,035 %;0,000 %;0,071 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,281 %;0,000 %;0,818 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,039 %;0,000 %;0,078 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 788;0;13 788;0;0;0;
